name,game system,army,quantity,status
Apocalypse,Marvel Crisis Protocol,Servants of Apocalypse,1,Painted
Colossus - Horseman of War,Marvel Crisis Protocol,Servants of Apocalypse,1,Printed
Beast - Horseman of Pestilence,Marvel Crisis Protocol,Servants of Apocalypse,1,Printed
Beast - X-men 2000,Marvel Crisis Protocol,Uncanny X-Men,1,Painted
Hulkbuster,Marvel Crisis Protocol,Avengers,1,Painted
Doctor Strange,Marvel Crisis Protocol,"Convocation, Defenders, Midnight Sons",1,Painted
The Blob,Marvel Crisis Protocol,"Brotherhood of Mutants, Servants of the Apocalypse ",1,Painted
Magneto,Marvel Crisis Protocol,"Brotherhood of Mutants, Cabal, Hellfire club",1,Primed
Storm,Marvel Crisis Protocol,"Uncanny X-Men, A-Force, Hellfire club, Wakanda",1,Primed
Wolverine,Marvel Crisis Protocol,Avengers,1,Painted
Magik - Horseman of Famine,Marvel Crisis Protocol,Servants of Apocalypse,1,Primed
Hulk - Horseman pf war,Marvel Crisis Protocol,Servants of Apocalypse,1,Painted
Beta Ray Bill ,Marvel Crisis Protocol,"Asgard, Guardians of the Galaxy",1,Painted
Army of the Dead Banner Bearer,Middle Earth Straegic Battle Game,Dead of Dunharrow,1,Painted
Rider of the dead,Middle Earth Straegic Battle Game,Dead of Dunharrow,2,Painted
Warriors of the dead - Swords,Middle Earth Straegic Battle Game,Dead of Dunharrow,8,Ready To Game
Warriors of the dead - axes,Middle Earth Straegic Battle Game,Dead of Dunharrow,6,Ready To Game
Warriors of the deat - spears,Middle Earth Straegic Battle Game,Dead of Dunharrow,8,Ready To Game
King of the dead & Heralds,Middle Earth Straegic Battle Game,Dead of Dunharrow,3,Ready To Game
"Treebeard, Merry & Pippin",Middle Earth Straegic Battle Game,Fangorn ,3,Painted
C3-PO,Star Wars - Legion,Rebellion,1,Painted
R2-D2,Star Wars - Legion,Rebellion,1,Primed
Fellowship of the ring - Plastic,Middle Earth Straegic Battle Game,The Fellowship,9,Painted
Fellowship of the ring - Metal,Middle Earth Straegic Battle Game,The Fellowship,9,Primed
The Three Hunters - foot,Middle Earth Straegic Battle Game,The Fellowship,3,Painted
Rebel Specialists ,Star Wars - Legion,Rebellion,4,Painted
Rebel Pathfinders,Star Wars - Legion,Rebellion,6,Primed
Rebel Troopers Unit,Star Wars - Legion,Rebellion,28,Painted
Rebel Trooper Upgrade unit,Star Wars - Legion,Rebellion,4,Primed
Rebel Commandos,Star Wars - Legion,Rebellion,14,Primed
Sabine Wren operative,Star Wars - Legion,Rebellion,1,Printed
Boba Fett,Star Wars - Legion,Galactic Empire,1,Printed
Leia Organa commando,Star Wars - Legion,Rebellion,1,Printed
Luke (Death Star),Star Wars - Legion,Rebellion,1,Painted
Luke Skywalker - Tatooine,Star Wars - Legion,Rebellion,2,Primed
T47-Airspeeder,Star Wars - Legion,Rebellion,1,Primed
Tauntan riders,Star Wars - Legion,Rebellion,2,Primed
FD laser cannon team,Star Wars - Legion,Rebellion,3,Primed
chewbacca,Star Wars - Legion,Rebellion,1,Primed
Wookie warriors,Star Wars - Legion,Rebellion,6,Primed
AT-RT,Star Wars - Legion,Rebellion,2,Primed
